id,text,simplify,score
1YUEFVWWCpc_11-8-rgb_front,"Typically, with pan fish, you're fishing with very light line, maybe two or four pound test monofilament.","With pan fish, you're usually fishing with very light line. Maybe two or four pound test line.",tensor([[0.9767]])
-EjG3LCcwEI_4-8-rgb_front,This is a lead weight welded to an alligator clip.,A lead weight is attached to an alligator clip.,tensor([[0.7787]])
48DncKS_yN0_33-8-rgb_front,"Its real smooth, just nonchalant, you come down step through, chest pass.","Its really smooth, just casual, you go down step through, chest pass.",tensor([[0.9224]])
24-nCYk2bRk_0-5-rgb_front,"Alright, so now we're getting pretty good at rocking that torso.",So now we're getting pretty good at holding that up.,tensor([[0.4329]])
1Dd3HPlgDWw_9-5-rgb_front,"It's etiquette, it's professional and that's the amount of space that they should use for their chair.","It's professional, it's etiquette and that's how much space they should use for their chair.",tensor([[0.9776]])
00Fc7cZX1gM_19-5-rgb_front,I had to force feed her for quite a while by sticking a tube down into her stomach with a mixture.,I had to force feed her for a long time with a tube down into her stomach with a mixture.,tensor([[0.9877]])
1NuRoCJdJM4_14-8-rgb_front,Don't just think you know what you're doing and try to wing it.,Don't just think you know what you're doing. You have to do it.,tensor([[0.7532]])
eI9bNFa07x4_10-8-rgb_front,If it's too wet the clay will just simply slide off it and you won't get it to adhere to the bat.,If it's too wet the clay will just simply slide off it and it will not stick to the bat.,tensor([[0.9828]])
3aKE_Fh3JaQ_3-8-rgb_front,We're going to start with the basic beginner forehand grip.,We will begin with a basic beginner forehand grip.,tensor([[0.9714]])
23ln0Sw_8Qo_4-5-rgb_front,"You're using your arms, your legs, and your core as well.","You use your legs, your arms, and your core as well.",tensor([[0.8875]])
C7hSO0aZSFA_11-8-rgb_front,This is a nice dish to do with chicken breast because it adds a lot of moisture to the chicken.,This is a good dish for chicken breast because it gives the chicken a lot of moisture.,tensor([[0.9431]])
42c5l12RhWo_9-5-rgb_front,Occasionally I will need two quarts and rarely I'll need three.,Sometimes I will need two quarts and sometimes I'll need three.,tensor([[0.9701]])
1jAFRRkU4ic_1-8-rgb_front,All the frames that you buy that are stained will have a more or less glossy finish on them.,All the frames that you purchase that are stained will have a smooth finish on them.,tensor([[0.7660]])
DDbXcFzIXH4_3-8-rgb_front,"This would be for typically, simply obviously it's a man, and he's wearing a tie.","This would be for example, just of course it's a man, and he's wearing a tie.",tensor([[0.8628]])
05snMPwCV98_1-5-rgb_front,"Don't take my ideas literally, because what I'm doing now, and don't take them as who I am as a designer, either.","Don't take my ideas literally, because that's what I do now, and don't take them as who I am as an artist.",tensor([[0.8811]])
16y-dsX1MDk_19-8-rgb_front,So you can take a simple picture of your cat or your dog or your children and make an absolutely gorgeous frame for it.,So you can take a simple picture of your dog or your child or your cat and make a beautiful frame for it.,tensor([[0.9884]])
d_cJXrKUy7M_2-5-rgb_front,"And then that would be the end of the clips on the cell phone, but I know that it doesn't exactly work that way.","And then that would be the end of mobile phone clips, but I know that it doesn't really work that way.",tensor([[0.9084]])
163ylBUtKlI_3-8-rgb_front,"Creative drama is not about teaching to the test, it's better.",Drama is not just teaching to the test. It's better.,tensor([[0.8658]])
--dANj_01AU_11-5-rgb_front,Come back and forth.,Back and forth.,tensor([[0.6730]])
eJlvf2D4P-I_2-5-rgb_front,Another type of accessory would be a teapot which already comes with the infuser in it.,Another kind of accessory is a teapot that already has the infuser in it.,tensor([[0.9489]])
bHEw7t7tJsc_0-5-rgb_front,"The next project we're going to show you for Mother's Day, is some rub-ons that you can use with little glass vases.","The next project we're going to show you for Mother's Day, is some little glass vases that you can use.",tensor([[0.8381]])
0GPQtW2tlvw_6-8-rgb_front,You can trace it on and then you just paint in the flowers and the leaves.,You can trace it on and then paint the leaves and the flowers.,tensor([[0.9708]])
0EZaw5V-LfU_2-11-rgb_front,You can either press any of the workouts the quick starts usually my favorite and then you just start stepping.,You can either press any of the exercises the fast starts are my favorite and then you just start running.,tensor([[0.7950]])
22iGdujk5HE_4-5-rgb_front,It will save some water and do good for the planet and that is how we are set up in here.,It will save some water and do good for the world and that's how we are set up here.,tensor([[0.9713]])
CgyzNU5IMtQ_10-4-rgb_front,So we're going to go over here to the cornfields and build our track there.,So we're going to go over here to the corn fields and set up a track.,tensor([[0.9357]])
47HHNulBaX0_1-5-rgb_front,Which is also known as a half diminished chord.,It is also called a half diminished chord.,tensor([[0.9358]])
-0yRaqY7nTE_3-5-rgb_front,And today we're giving you information on selling your junk car in Tampa.,And today we're going to tell you how to sell your car in Tampa.,tensor([[0.8929]])
eANyqXdSpSk_0-5-rgb_front,I'm going to be talking about motions that you can be doing in the head.,I'm going to talk about things that you can do in your head.,tensor([[0.5668]])
ca54J6D5hkA_1-5-rgb_front,"Today, we're going to be talking about road cranks.","Today, we're going to talk about the cranks.",tensor([[0.7318]])
Eh697LCFjTw_14-3-rgb_front,Those are some different options you have when you're trying to choose the foundation that's right for you.,These are some different options you have when you're looking for the right foundation for you.,tensor([[0.9291]])
04VKILduLSM_7-8-rgb_front,"So what you are going to do is you are going to put money down on the pass line, and if they roll a seven or eleven great you win.","So what you're going to do is you're going to put money down on the pass line. If they roll a great seven, you win.",tensor([[0.9187]])
dXAQ76wSgR4_2-5-rgb_front,We've already had a couple of wind flags today.,There have been a few wind flags today.,tensor([[0.9245]])
DG-NczwMCoM_12-5-rgb_front,You just want to slice down at an angle basically.,You should just cut down at an angle basically.,tensor([[0.7654]])
1cj15Is-Wjs_23-8-rgb_front,"So, I'm Tim Gipson and that's how to tune up a bandsaw.","I'm Tim Gipson, and this is how to use a bandsaw.",tensor([[0.8628]])
1f6MTI3qidQ_34-8-rgb_front,"Last, but not least, this is a great one to get the crowd going.","Last but not least, it's a good one to get the crowd going.",tensor([[0.8364]])
DE8YkWRpvYA_2-5-rgb_front,So we're going to do the topspin forehand serve return now.,So I'm going to do a forehand serve return right now.,tensor([[0.7638]])
1cZcma6WzEg_11-8-rgb_front,You can also cut the long layers like this and then go straight across and cut it.,You can also cut the long layers like this and then cut it straight across.,tensor([[0.9825]])
DcaZwBc3SXk_12-8-rgb_front,"So, now, we're going to do the back just like we did the front with the exception of this hole.","So, now, we're going to do the front just like we did the back except for this hole.",tensor([[0.9629]])
3RqJnxOWNyM_12-8-rgb_front,"I have my nice, long pointy vegetable knife.","I've got a long, sharp vegetable knife.",tensor([[0.9033]])
bbIbBpRt8IM_4-5-rgb_front,"If this was to be the edge of the belt, go at an angle on it.","If this is the belt's edge, then go at an angle on it.",tensor([[0.9507]])
FQsLcgxOReU_6-5-rgb_front,"If I have a big sticky foam pile, itâs going to keep me too much in that hole, itâs going to make it hard to get to the top of it.","If I have a big sticky foam pile, itâs going to make it hard to get to the top of it, itâs going to keep me too much in that hole.",tensor([[0.9950]])
cZhGkz4jNnk_1-8-rgb_front,"Green tea, you need to keep in mind, the best ones come from China and Japan.","Green tea, you should remember, the best ones come from Japan and China.",tensor([[0.9618]])
1BYz1IhT5F0_3-8-rgb_front,"When you look at peralite, it's a very air like material, it's like popcorn.","When you look at peralite, it's a very soft material. It looks like popcorn.",tensor([[0.9116]])
1O_X7NnW-HA_14-5-rgb_front,There's a variety of different ways of finding out a birth date of a deceased person.,There are many different ways to find out the birth date of a dead person.,tensor([[0.9709]])
1ikV8IVFpBw_2-8-rgb_front,The reason for this is so that if the house shakes or settles or moves or something like that your joints are protected from cracking.,The reason for this is so that if the house moves or shakes or settles or anything like that your joints are safe.,tensor([[0.9490]])
-_3bUhnn4PU_7-8-rgb_front,"I've got a number two pencil, which you can find in any drawer in your house.",I have a number two pencil. It can be found in any drawer in your house.,tensor([[0.9810]])
_20g7MG8K1U_3-8-rgb_front,"We're going to talk around the tractor, show you the things that you can do, in just a couple of minutes, to make sure you're going to have a safe experience every time you run your tractor.","We're going to talk about the tractor, show you what you can do, in just a couple of minutes, to make sure you have a safe experience every time you use your tractor.",tensor([[0.9477]])
atQrRCf_Xxw_7-8-rgb_front,"Feel it again, make sure it's nice all the way around and you should have good peaches all the time.","Feel it again, make sure it's good all around, and you should always have good peaches.",tensor([[0.8574]])
23h1jHxDBFc_5-5-rgb_front,"If you notice I can pick it up and nothing is happening, that is because the key is not in.","If you notice that I can pick it up and it doesn't work, it's because the key isn't in.",tensor([[0.9567]])
BoBx1pDyFog_27-8-rgb_front,The lift is one of the most important things that goes into every single cast.,The lift is the most essential thing that goes into every single cast.,tensor([[0.9860]])
1bA7XtuyoYY_6-8-rgb_front,"So when you breathe, you want to inhale to prepare, exhale as you twist.","When you breathe, you want to inhale before you twist and exhale after.",tensor([[0.9159]])
-CiUc2Gk4v8_5-8-rgb_front,Any type of damage to the chord is just leading to disaster.,Any kind of damage to the chord will only cause disaster.,tensor([[0.9752]])
ah-PM4tolJ4_23-5-rgb_front,You can have a neon purple and yellow zebra if you want.,You can get a yellow and purple zebra if you want.,tensor([[0.9004]])
DcpSAcbj81w_4-5-rgb_front,If they don't have the opportunity to run away they're not going to do it.,If they don't have a chance to run away they're not going to do it.,tensor([[0.9775]])
FaTbGDrP9NI_13-8-rgb_front,Black tea is most commonly produced in India and Sri Lanka.,Black tea is most often made in India and Sri Lanka.,tensor([[0.9790]])
0z-gCDC8oOw_15-8-rgb_front,What we're going to do is run the ball joint down until it's tight.,What we're going to do is run the ball down until it gets tight.,tensor([[0.7891]])
1pPAkrfqnHg_19-8-rgb_front,"So we want to make sure that we cut on the opposite along the line but on the opposite side, clear as mud.","So we want to make sure that we cut across the line, but on the other side, it's clear as mud.",tensor([[0.8253]])
F0eCE9z6ENc_4-8-rgb_front,You want to have a color protector before you even apply amazing wipes on it.,You should have a color protector before you use great wipes on it.,tensor([[0.8908]])
CE23zzfUBDw_42-5-rgb_front,"So, it's hard to hear the heart.",It's difficult to hear the heart.,tensor([[0.9610]])
eIOmY6ub-I0_13-5-rgb_front,"I just buy precut, predone in the market.",I just buy pre-cut and pre-scented in market.,tensor([[0.7788]])
-70D86eMmIc_12-5-rgb_front,"Next stop, South America.",The next stop is South America.,tensor([[0.9658]])
furfAAKJFvw_14-4-rgb_front,"From the sencha the leader picking is called bancha, and what they do is they take the bancha and they roast it, it's called a hojicha, which is a roasted tea.",From the sencha the leader picking is called bancha. What they do is they take the bancha and they roast it. Then they make a tea from it.,tensor([[0.9495]])
0EXgSf1yN-0_0-8-rgb_front,"All right, in this section, I'm going to explain to you step five of the breath stroke.","All right, in this section, I'm going to tell you step five of the breathing process.",tensor([[0.7747]])
F-p1IdedNbg_3-8-rgb_front,Children used to fashion dried grape vines into hula hoops and hoop with them.,Children made grape vines into hula hoops. They would hoop with them.,tensor([[0.9599]])
ED008VqMDJU_6-3-rgb_front,"Have you ever heard of, or given, or received the silent treatment?",Have you ever been given or given the silent treatment?,tensor([[0.9465]])
3leKwl-71Yg_6-5-rgb_front,They don't come in a spool; they come like in a tuft.,They don't come in a tube. They come in a tuft.,tensor([[0.4569]])
fK3jvGvFqD4_2-5-rgb_front,In this clip I'm going to show you how to password protect the administrative account or the parent account to restrict access for your child.,In this video I will show you how to password protect the parent account or the administrative account to limit your child's access.,tensor([[0.9768]])
alsOytcPxas_0-8-rgb_front,"Let's talk about pairing wine with spicy food, specifically red wines.","Let's talk about food and wine pairing, especially red wines.",tensor([[0.7044]])
a0te0H5ms1Y_22-9-rgb_front,You want to make sure that there are not little white barriers kind of sneaking around here and escaping your painting brush.,You want to make sure that there are not small white walls kind of coming in here and getting out your brush.,tensor([[0.7437]])
06k75HRlfqc_6-8-rgb_front,"So not only are you internally heating through your breath and through the movement of postures from one posture to the next, but the room is externally heated.","So you not only heat the room internally through your breath and through the movement of postures from one position to the next, but you also heat the room.",tensor([[0.9347]])
1PafdIFUsPU_7-5-rgb_front,"They come in white buffing box, also known as polar blocks.",They come in white buffing box and are called polar blocks.,tensor([[0.9637]])
1OJx7Vfnr6w_10-8-rgb_front,"Those were your single, double, and triple drawbacks all combined after you learn your triple drawback.","Those were your single, double, and triple problems all combined when you learn your double problem.",tensor([[0.5430]])
23GbjIU50qw_12-8-rgb_front,"and I like the shallow dish, the big shallow dish because it get baked so quickly so I don't have to wait that long for corn bread to cook.","and I like the deep dish, the deep dish because it get baked so fast so I don't have to wait a long time for corn bread to cook.",tensor([[0.9124]])
097l3R1JCFQ_12-5-rgb_front,Now tortillas.,The tortillas.,tensor([[0.7432]])
0y8f5eLbPho_6-5-rgb_front,"Let me add a little bit more than that, make sure it gets nice and pink.","Let me add a little bit more, just to make it look nice and pink.",tensor([[0.8143]])
dJkZC7IchGs_5-1-rgb_front,This one here happens to be what we call a 'speed rope'.,This particular one is what we call a speed rope.,tensor([[0.9428]])
1I7YRWosiJ8_6-5-rgb_front,"You're going to comb straight through 'till you make a, like a pigtail.",You're going to comb through it until you make a pigtail.,tensor([[0.8710]])
1Oj0xMGOmqc_2-8-rgb_front,It has either a bone out strap; and a strap that goes over your toe.,"It has either a bone out strap, or it can go over your toe.",tensor([[0.9204]])
18PYCeuqUfQ_1-8-rgb_front,"So I'm going to cut it way down here, and it should just fall off just like that, and you set that aside right there next to your teapot.","So I'm going to cut it way down here, and it should just fall off just like that. And then you can put it in your teapot.",tensor([[0.9065]])
-euMRdZvO74_14-5-rgb_front,"I'll show you what manufacturers were successful, and what items were not successful.",I will show you what products have been successful and what have not.,tensor([[0.8173]])
Ck9byvklv-M_6-3-rgb_front,"So, to do this trick, what you want to do is when you throw and you step over it.","So to do this trick, what you want to do is step over it when you throw.",tensor([[0.9692]])
1OzBoBBc4bw_4-8-rgb_front,"In this case, what that means to you is so that you're not wasting your time and everyone else's time.","In this case, what it means to you is that you don't waste your time, or anyone else's time.",tensor([[0.8316]])
egEQrOLjKxc_16-8-rgb_front,"That way because obviously the face is going to the subject of the shot, that way you have absolute focus on there.","That way because of course the face is going to the subject of the shot, that way you have full attention.",tensor([[0.9736]])
1MvVj9F775U_9-5-rgb_front,"You can always add on more disks, to the pile.",You can always put more disks into the pile.,tensor([[0.9321]])
fxLUOvJTM0U_2-5-rgb_front,"Well, in many states, you can't find someone by their driver's license, because it's protected.","In a lot of states, you can't find a person's driver's license because it's protected.",tensor([[0.8928]])
1qNsErmkIiU_9-3-rgb_front,Use it just like any other curling iron.,Just like any other curling iron.,tensor([[0.8111]])
bwLhAEu1h90_4-5-rgb_front,"So, looking at a sit-on-top kayak, they're all basically the same.","So, if you look at a sit-on-top kayak, they're all the same.",tensor([[0.9729]])
celb3UJ9_Ko_10-8-rgb_front,Here's an example of a piece in which I used a couple of multimedia highlights.,Here's an example of a piece where I used a few multimedia elements.,tensor([[0.8595]])
57bbRJn0xec_6-1-rgb_front,"So Karie will start with these 10 lbs., keeping perfect form, she's going to go up and over her head.","So Karie will start with these 10 lbs., she will keep perfect form. She will go up and over her head.",tensor([[0.9576]])
bo3G_k9XSPY_14-8-rgb_front,"Nothing big, but that's, but those basic points still hold true for any, any size fish.","Nothing big, but that's, but those basic things still apply to any size fish.",tensor([[0.9618]])
CdaX8MDsJkc_24_25_26-5-rgb_front,"And like I said, this is going to cook down. There's a lot of water in this. I'm going to try to get all of that flavors of this beautiful eggplant.","And like I said, this is going to cook down. There's a lot of water in this. I'm going to try to get all the different eggplant flavors.",tensor([[0.9294]])
eI9bNFa07x4_1-8-rgb_front,And attach the clay to the bat so that we can start centering.,The clay should be attached to the bat so we can start.,tensor([[0.8625]])
b9nWwzf0C5E_16-5-rgb_front,"You don't want to bend, or a lot of people when they kick they go on their, your, your toes on this foot you're standing on.","You don't want to bend, or a lot of people when they kick they go on this foot you're standing on their toes.",tensor([[0.9747]])
anxhVQxvPGs_20-5-rgb_front,"You can actually save a lot of time on cooking them, because if you use the canned, peeled tomatoes, they don't have to break down as much.","You can actually save a lot of time on cooking them. If you use peeled and canned tomatoes, they don't break down as much.",tensor([[0.9629]])
-B0GueDqaoY_6-8-rgb_front,"And I think, boy that would be neat, how could I put that all together in a horse race?","And I thought, boy that would be cool, how would you put it all together?",tensor([[0.6097]])
CJ8RyW9pzKU_8-8-rgb_front,And she's very gently and very slowly going to ease her foot forward.,And she's going very slowly and gently to move her foot forward.,tensor([[0.9240]])
04hnjLKHh2g_18-5-rgb_front,Now you hold the tip about an eighth of an inch over the surface.,The tip should be about an eighth of an inch across.,tensor([[0.6484]])
-cmG4MzqyjE_17-5-rgb_front,"If you do it twice a day, you'll get better results.","If you do it twice a day, you will get better results.",tensor([[0.9920]])
a5BJCnXAxWU_7-8-rgb_front,They also make what's called a giffen grip which has a gear inside it.,They also make a special grip called a giffen that has gear inside.,tensor([[0.9665]])
4MXwmQ7Ht6E_24-8-rgb_front,We're just going to fold it up again so you can see how well that's going to look.,We'll just fold it up again so you can see how good it's going to look.,tensor([[0.9579]])
